step,x,y,new_color,ant_dx,ant_dy
0,100,100,1,1,0
1,101,100,1,0,1
2,101,101,1,-1,0
3,100,101,1,0,-1
4,100,100,0,-1,0
5,99,100,1,0,-1
6,99,99,1,1,0
7,100,99,1,0,1
8,100,100,1,-1,0
9,99,100,0,0,1
10,99,101,1,-1,0
11,98,101,1,0,-1
12,98,100,1,1,0
13,99,100,1,0,1
14,99,101,0,1,0
15,100,101,0,0,-1
16,100,100,0,-1,0
17,99,100,0,0,1
18,99,101,1,-1,0
19,98,101,0,0,1
20,98,102,1,-1,0
21,97,102,1,0,-1
22,97,101,1,1,0
23,98,101,1,0,1
24,98,102,0,1,0
25,99,102,1,0,1
26,99,103,1,-1,0
27,98,103,1,0,-1
28,98,102,1,1,0
29,99,102,0,0,-1
30,99,101,0,-1,0
31,98,101,0,0,1
32,98,102,0,1,0
33,99,102,1,0,1
34,99,103,0,1,0
35,100,103,1,0,1
36,100,104,1,-1,0
37,99,104,1,0,-1
38,99,103,1,1,0
39,100,103,0,0,-1
40,100,102,1,1,0
41,101,102,1,0,1
42,101,103,1,-1,0
43,100,103,1,0,-1
44,100,102,0,-1,0
45,99,102,0,0,1
46,99,103,0,1,0
47,100,103,0,0,-1
48,100,102,1,1,0
49,101,102,0,0,-1
50,101,101,0,-1,0
51,100,101,1,0,-1
52,100,100,1,1,0
53,101,100,0,0,-1
54,101,99,1,1,0
55,102,99,1,0,1
56,102,100,1,-1,0
57,101,100,1,0,-1
58,101,99,0,-1,0
59,100,99,0,0,1
60,100,100,0,1,0
61,101,100,0,0,-1
62,101,99,1,1,0
63,102,99,0,0,-1
64,102,98,1,1,0
65,103,98,1,0,1
66,103,99,1,-1,0
67,102,99,1,0,-1
68,102,98,0,-1,0
69,101,98,1,0,-1
70,101,97,1,1,0
71,102,97,1,0,1
72,102,98,1,-1,0
73,101,98,0,0,1
74,101,99,0,1,0
75,102,99,0,0,-1
76,102,98,0,-1,0
77,101,98,1,0,-1
78,101,97,0,-1,0
79,100,97,1,0,-1
80,100,96,1,1,0
81,101,96,1,0,1
82,101,97,1,-1,0
83,100,97,0,0,1
84,100,98,1,-1,0
85,99,98,1,0,-1
86,99,97,1,1,0
87,100,97,1,0,1
88,100,98,0,1,0
89,101,98,0,0,-1
90,101,97,0,-1,0
91,100,97,0,0,1
92,100,98,1,-1,0
93,99,98,0,0,1
94,99,99,0,1,0
95,100,99,1,0,1
96,100,100,1,-1,0
97,99,100,1,0,-1
98,99,99,1,1,0
99,100,99,0,0,-1
100,100,98,0,-1,0
101,99,98,1,0,-1
102,99,97,0,-1,0
103,98,97,1,0,-1
104,98,96,1,1,0
105,99,96,1,0,1
106,99,97,1,-1,0
107,98,97,0,0,1
108,98,98,1,-1,0
109,97,98,1,0,-1
110,97,97,1,1,0
111,98,97,1,0,1
112,98,98,0,1,0
113,99,98,0,0,-1
114,99,97,0,-1,0
115,98,97,0,0,1
116,98,98,1,-1,0
117,97,98,0,0,1
118,97,99,1,-1,0
119,96,99,1,0,-1
120,96,98,1,1,0
121,97,98,1,0,1
122,97,99,0,1,0
123,98,99,1,0,1
124,98,100,0,1,0
125,99,100,0,0,-1
126,99,99,0,-1,0
127,98,99,0,0,1
128,98,100,1,-1,0
129,97,100,1,0,-1
130,97,99,1,1,0
131,98,99,1,0,1
132,98,100,0,1,0
